,LS
139,1.0829535312950611e-06
140,1.0829535312950611e-06
141,1.0830117389559746e-06
142,1.0840012691915035e-06
143,1.167005393654108e-06
144,1.125037670135498e-06
145,1.1249794624745846e-06
146,1.0840012691915035e-06
147,1.0830117389559746e-06
148,1.04197533801198e-06
149,1.166015863418579e-06
150,1.00000761449337e-06
151,8.33999365568161e-07
152,1.125037670135498e-06
153,1.208973117172718e-06
154,1.208973117172718e-06
155,1.125037670135498e-06
156,1.167005393654108e-06
157,1.0830117389559746e-06
158,9.589712135493755e-07
159,1.125037670135498e-06
160,1.166015863418579e-06
161,1.0840012691915035e-06
162,1.2080417945981026e-06
163,1.167005393654108e-06
164,2.08965502679348e-07
165,1.208973117172718e-06
166,1.207983586937189e-06
167,1.2090313248336315e-06
168,1.2500095181167126e-06
169,1.2500095181167126e-06
170,1.2500095181167126e-06
171,1.166015863418579e-06
172,1.207983586937189e-06
173,1.207983586937189e-06
174,1.2500095181167126e-06
175,1.249951310455799e-06
176,2.0797597244381905e-07
177,1.207983586937189e-06
178,1.2500095181167126e-06
179,1.292035449296236e-06
180,1.2500095181167126e-06
181,1.333013642579317e-06
182,1.2500095181167126e-06
183,1.3329554349184036e-06
184,1.2919772416353226e-06
185,5.830079317092896e-07
186,1.374981366097927e-06
187,1.374981366097927e-06
188,1.4170072972774506e-06
189,1.2919772416353226e-06
190,1.4170072972774506e-06
191,1.333013642579317e-06
192,1.2919772416353226e-06
193,1.374981366097927e-06
194,1.2919772416353226e-06
195,1.3750395737588406e-06
196,1.3750395737588406e-06
197,1.374981366097927e-06
198,1.333013642579317e-06
199,1.374981366097927e-06
200,1.334003172814846e-06
201,1.334003172814846e-06
202,1.374981366097927e-06
203,1.4170072972774506e-06
204,1.4170072972774506e-06
205,1.00000761449337e-06
206,1.4170072972774506e-06
207,3.750319592654705e-07
208,1.4579854905605316e-06
209,1.374981366097927e-06
210,1.4999532140791416e-06
211,1.416949089616537e-06
212,1.4589750207960606e-06
213,1.4579854905605316e-06
214,1.5409896150231361e-06
215,1.541979145258665e-06
216,1.4160177670419216e-06
217,1.458043698221445e-06
218,1.500011421740055e-06
219,1.500011421740055e-06
220,1.416949089616537e-06
221,1.4999532140791416e-06
222,1.5409896150231361e-06
223,1.541979145258665e-06
224,1.5830155462026596e-06
225,1.500011421740055e-06
226,1.541979145258665e-06
227,1.5830155462026596e-06
228,1.541979145258665e-06
229,1.541979145258665e-06
230,1.5830155462026596e-06
231,1.6249832697212696e-06
232,1.5830155462026596e-06
233,1.5830155462026596e-06
234,1.5830155462026596e-06
235,1.6249832697212696e-06
236,1.4999532140791416e-06
237,2.08965502679348e-07
238,1.7090351320803165e-06
239,1.5840050764381886e-06
240,1.5829573385417461e-06
241,1.6595004126429558e-07
242,1.6249832697212696e-06
243,7.500057108700275e-07
244,1.6669509932398796e-06
245,1.6249832697212696e-06
246,1.6659614630043507e-06
247,1.625041477382183e-06
248,1.667009200900793e-06
249,2.500019036233425e-07
250,1.7500133253633976e-06
251,1.7079873941838741e-06
252,1.6659614630043507e-06
253,1.6669509932398796e-06
254,1.7079873941838741e-06
255,1.7080456018447876e-06
256,1.7500133253633976e-06
257,1.7499551177024841e-06
258,1.6660196706652641e-06
259,3.750319592654705e-07
260,1.708976924419403e-06
261,1.6249832697212696e-06
262,1.834006980061531e-06
263,1.667009200900793e-06
264,1.7080456018447876e-06
265,1.667009200900793e-06
266,1.8330174498260021e-06
267,1.7919810488820076e-06
268,1.7919810488820076e-06
269,1.8330174498260021e-06
270,1.834006980061531e-06
271,1.792039256542921e-06
272,1.8330174498260021e-06
273,1.8330174498260021e-06
274,1.7079873941838741e-06
275,1.8749851733446121e-06
276,1.7500133253633976e-06
277,1.66997779160738e-07
278,1.7909915186464787e-06
279,1.7910497263073921e-06
280,1.8749851733446121e-06
281,1.8330174498260021e-06
282,1.8329592421650887e-06
283,1.8750433810055256e-06
284,1.8330174498260021e-06
285,1.8749851733446121e-06
286,1.8749851733446121e-06
287,1.959037035703659e-06
288,7.500057108700275e-07
289,1.959037035703659e-06
290,1.9170111045241356e-06
291,1.9170111045241356e-06
292,1.8749851733446121e-06
293,1.915963366627693e-06
294,1.9170111045241356e-06
295,1.9170111045241356e-06
296,1.9170111045241356e-06
297,1.9579892978072166e-06
298,1.959037035703659e-06
299,1.9579892978072166e-06
300,1.9170111045241356e-06
301,2.00001522898674e-06
302,2.040993422269821e-06
303,2.500019036233425e-07
304,1.9160215742886066e-06
305,1.8750433810055256e-06
306,1.9170111045241356e-06
307,2.08395067602396e-06
308,2.082961145788431e-06
309,2.00001522898674e-06
310,1.9170111045241356e-06
311,2.04198295250535e-06
312,2.0830193534493446e-06
313,2.0830193534493446e-06
314,1.9170111045241356e-06
315,2.082961145788431e-06
316,2.0830193534493446e-06
317,2.3750471882522106e-06
318,2.04198295250535e-06
319,2.1249870769679546e-06
320,2.00001522898674e-06
321,2.208980731666088e-06
322,2.2500171326100826e-06
323,2.1249870769679546e-06
324,2.125045284628868e-06
325,2.1249870769679546e-06
326,2.0797597244381905e-07
327,2.08965502679348e-07
328,2.166023477911949e-06
329,2.125045284628868e-06
330,2.207991201430559e-06
331,2.0840088836848736e-06
332,2.249958924949169e-06
333,2.207991201430559e-06
334,2.167013008147478e-06
335,2.2500171326100826e-06
336,2.2500171326100826e-06
337,2.0830193534493446e-06
338,2.2090389393270016e-06
339,7.079797796905041e-07
340,1.334003172814846e-06
341,2.1249870769679546e-06
342,2.249958924949169e-06
343,2.207991201430559e-06
344,2.292043063789606e-06
345,2.2909953258931637e-06
346,2.2500171326100826e-06
347,2.1659652702510357e-06
348,2.207991201430559e-06
349,2.2500171326100826e-06
350,2.2909953258931637e-06
351,2.1249870769679546e-06
352,2.3329630494117737e-06
353,2.249958924949169e-06
354,2.166023477911949e-06
355,2.2090389393270016e-06
356,2.208980731666088e-06
357,2.4170149117708206e-06
358,2.207991201430559e-06
359,2.292043063789606e-06
360,2.3329630494117737e-06
361,2.2500171326100826e-06
362,2.292043063789606e-06
363,2.500019036233425e-06
364,2.333021257072687e-06
365,2.249958924949169e-06
366,2.0797597244381905e-07
367,2.2919848561286926e-06
368,2.500019036233425e-07
369,2.333021257072687e-06
370,2.334010787308216e-06
371,2.374988980591297e-06
372,2.374988980591297e-06
373,2.2919848561286926e-06
374,2.374988980591297e-06
375,2.2919848561286926e-06
376,2.333021257072687e-06
377,3.7497375160455704e-07
378,2.334010787308216e-06
379,2.4160253815352917e-06
380,2.4589826352894306e-06
381,2.4999608285725117e-06
382,2.3329630494117737e-06
383,2.415967173874378e-06
384,2.374988980591297e-06
385,2.500019036233425e-06
386,2.500019036233425e-06
387,2.416956704109907e-06
388,2.3750471882522106e-06
389,2.4999608285725117e-06
390,2.4579931050539017e-06
391,2.458051312714815e-06
392,2.4999608285725117e-06
393,2.458051312714815e-06
394,2.4999608285725117e-06
395,2.4579931050539017e-06
396,2.4579931050539017e-06
397,2.500019036233425e-06
398,2.541986759752035e-06
399,2.4999608285725117e-06
400,2.459040842950344e-06
401,2.4579931050539017e-06
402,2.541986759752035e-06
403,2.5840126909315586e-06
404,2.4999608285725117e-06
405,2.540997229516506e-06
406,2.5830231606960297e-06
407,2.707995008677244e-06
408,2.6659690774977207e-06
409,2.582964953035116e-06
410,2.666027285158634e-06
411,2.6669586077332497e-06
412,2.5420449674129486e-06
413,2.6249908842146397e-06
414,2.625049091875553e-06
415,2.6249908842146397e-06
416,9.159557521343231e-07
417,2.6659690774977207e-06
418,2.5830231606960297e-06
419,2.541986759752035e-06
420,2.5830231606960297e-06
421,2.583954483270645e-06
422,2.667016815394163e-06
423,2.7500209398567677e-06
424,1.4999532140791416e-06
425,2.5830231606960297e-06
426,2.500019036233425e-07
427,3.0829687602818012e-06
428,2.7919886633753777e-06
429,2.7090427465736866e-06
430,2.749962732195854e-06
431,2.707995008677244e-06
432,7.500057108700275e-07
433,2.707995008677244e-06
434,2.708984538912773e-06
435,2.707995008677244e-06
436,2.7500209398567677e-06
437,2.834014594554901e-06
438,2.707995008677244e-06
439,2.707995008677244e-06
440,2.707995008677244e-06
441,2.8329668566584587e-06
442,2.792046871036291e-06
443,2.7919886633753777e-06
444,2.833025064319372e-06
445,3.7497375160455704e-07
446,2.7080532163381577e-06
447,2.8329668566584587e-06
448,2.874992787837982e-06
449,2.833025064319372e-06
450,2.7500209398567677e-06
451,2.8329668566584587e-06
452,2.7909991331398487e-06
453,2.9579969123005867e-06
454,2.9170187190175056e-06
455,2.7919886633753777e-06
456,1.2090313248336315e-06
457,2.833025064319372e-06
458,2.874992787837982e-06
459,2.9579969123005867e-06
460,2.9580551199615e-06
461,2.874992787837982e-06
462,3.00002284348011e-06
463,2.8329668566584587e-06
464,2.874992787837982e-06
465,2.874992787837982e-06
466,2.874992787837982e-06
467,3.00002284348011e-06
468,2.9579969123005867e-06
469,2.6249908842146397e-06
470,2.0797597244381905e-07
471,3.333028871566057e-06
472,8.330098353326321e-07
473,3.04199056699872e-06
474,3.0410010367631912e-06
475,2.9999646358191967e-06
476,3.0410010367631912e-06
477,3.04199056699872e-06
478,3.0829687602818012e-06
479,3.0829687602818012e-06
480,2.500019036233425e-07
481,3.0830269679427147e-06
482,2.9579969123005867e-06
483,2.9160291887819767e-06
484,2.9999646358191967e-06
485,2.9579969123005867e-06
486,3.0830269679427147e-06
487,3.00002284348011e-06
488,2.9589864425361156e-06
489,3.04199056699872e-06
490,5.829497240483761e-07
491,2.9999646358191967e-06
492,2.9589864425361156e-06
493,3.0410010367631912e-06
494,3.00002284348011e-06
495,3.1669624149799347e-06
496,3.2079988159239292e-06
497,2.500019036233425e-07
498,2.500019036233425e-07
499,3.1249946914613247e-06
500,2.9579969123005867e-06
501,3.167020622640848e-06
502,3.1659728847444057e-06
503,3.1669624149799347e-06
504,3.2079988159239292e-06
505,3.0829687602818012e-06
506,1.6600824892520905e-07
507,3.2500247471034527e-06
508,6.25033862888813e-07
509,3.1249946914613247e-06
510,3.0829687602818012e-06
511,3.167020622640848e-06
512,3.2079988159239292e-06
513,3.2079988159239292e-06
514,3.1249946914613247e-06
515,3.04199056699872e-06
516,3.2079988159239292e-06
517,3.2500247471034527e-06
518,3.3329706639051437e-06
519,3.2090465538203716e-06
520,3.167020622640848e-06
521,3.2499665394425392e-06
522,3.2500247471034527e-06
523,7.92031642049551e-07
524,3.2500247471034527e-06
525,3.3329706639051437e-06
526,3.2919924706220627e-06
527,3.333028871566057e-06
528,3.2499665394425392e-06
529,1.0829535312950611e-06
530,3.2499665394425392e-06
531,3.2500247471034527e-06
532,3.334018401801586e-06
533,6.249756552278996e-07
534,3.2910029403865337e-06
535,3.374996595084667e-06
536,3.2919924706220627e-06
537,3.2919924706220627e-06
538,3.333028871566057e-06
539,3.2919924706220627e-06
540,3.2499665394425392e-06
541,3.3750548027455807e-06
542,3.333028871566057e-06
543,3.333028871566057e-06
544,3.292050678282976e-06
545,3.374996595084667e-06
546,3.4159747883677483e-06
547,3.2500247471034527e-06
548,3.374996595084667e-06
549,3.4580007195472717e-06
550,3.374996595084667e-06
551,3.4170225262641907e-06
552,3.2919924706220627e-06
553,3.2919924706220627e-06
554,3.2919924706220627e-06
555,3.4999684430658817e-06
556,3.3329706639051437e-06
557,3.333028871566057e-06
558,3.541994374245405e-06
559,3.5840203054249287e-06
560,3.4159747883677483e-06
561,3.4999684430658817e-06
562,3.4580007195472717e-06
563,3.5830307751893997e-06
564,3.5840203054249287e-06
565,3.4159747883677483e-06
566,3.4160329960286617e-06
567,3.6249984987080097e-06
568,3.5840203054249287e-06
569,3.583962097764015e-06
570,4.169996827840805e-07
571,3.4159747883677483e-06
572,3.6669662222266197e-06
573,3.5830307751893997e-06
574,3.6249984987080097e-06
575,3.5829725675284863e-06
576,3.541994374245405e-06
577,3.541994374245405e-06
578,3.6669662222266197e-06
579,3.541994374245405e-06
580,3.6669662222266197e-06
581,3.4580007195472717e-06
582,3.5840203054249287e-06
583,3.7080026231706142e-06
584,3.500026650726795e-06
585,3.6249984987080097e-06
586,3.7500285543501377e-06
587,3.834022209048271e-06
588,3.6249984987080097e-06
589,3.7080026231706142e-06
590,3.7919962778687477e-06
591,3.5840203054249287e-06
592,3.7919962778687477e-06
593,3.5420525819063187e-06
594,3.7919962778687477e-06
595,3.7500285543501377e-06
596,3.6249984987080097e-06
597,3.5829725675284863e-06
598,3.2500247471034527e-06
599,3.667024429887533e-06
600,3.832974471151829e-06
601,3.667024429887533e-06
602,2.500019036233425e-07
603,3.6659766919910908e-06
604,3.834022209048271e-06
605,3.7499703466892242e-06
606,3.833032678812742e-06
607,3.7499703466892242e-06
608,3.7500285543501377e-06
609,2.2500171326100826e-06
610,3.7080026231706142e-06
611,3.999972250312567e-06
612,3.958004526793957e-06
613,3.7499703466892242e-06
614,3.7919962778687477e-06
615,3.7500285543501377e-06
616,3.6669662222266197e-06
617,3.875000402331352e-06
618,3.7500285543501377e-06
619,3.917026333510876e-06
620,3.834022209048271e-06
621,3.7500285543501377e-06
622,2.8329668566584587e-06
623,2.334010787308216e-06
624,3.958994057029486e-06
625,3.7499703466892242e-06
626,3.916036803275347e-06
627,3.7919962778687477e-06
628,3.916968125849962e-06
629,3.832974471151829e-06
630,3.875000402331352e-06
631,4.00003045797348e-06
632,4.00003045797348e-06
633,3.958004526793957e-06
634,3.917026333510876e-06
635,3.7919962778687477e-06
636,3.999972250312567e-06
637,4.042056389153004e-06
638,4.125002305954695e-06
639,4.041008651256561e-06
640,4.041008651256561e-06
641,3.958004526793957e-06
642,3.832974471151829e-06
643,4.209054168313742e-06
644,4.125002305954695e-06
645,3.999972250312567e-06
646,4.041008651256561e-06
647,4.125002305954695e-06
648,4.041008651256561e-06
649,3.958004526793957e-06
650,3.958004526793957e-06
651,4.165980499237776e-06
652,4.125002305954695e-06
653,3.875000402331352e-06
654,4.041008651256561e-06
655,4.249974153935909e-06
656,4.207948222756386e-06
657,4.125002305954695e-06
658,4.165980499237776e-06
659,4.208006430417299e-06
660,4.041008651256561e-06
661,4.04199818149209e-06
662,3.958994057029486e-06
663,4.084024112671614e-06
664,4.250032361596823e-06
665,6.249756552278996e-07
666,4.250032361596823e-06
667,4.208006430417299e-06
668,4.208995960652828e-06
669,4.00003045797348e-06
670,4.208006430417299e-06
671,4.249974153935909e-06
672,4.166038706898689e-06
673,4.332978278398514e-06
674,4.125002305954695e-06
675,4.250032361596823e-06
676,7.919734343886375e-07
677,4.04199818149209e-06
678,1.9579892978072166e-06
679,4.125002305954695e-06
680,4.04199818149209e-06
681,4.292000085115433e-06
682,4.333967808634043e-06
683,2.0803418010473251e-07
684,4.417030140757561e-06
685,4.250032361596823e-06
686,4.29095234721899e-06
687,4.125002305954695e-06
688,4.292000085115433e-06
689,2.0902371034026146e-07
690,4.292000085115433e-06
691,4.417030140757561e-06
692,2.0420411601662636e-06
693,4.332978278398514e-06
694,4.375004209578037e-06
695,4.291010554879904e-06
696,4.082976374775171e-06
697,4.208006430417299e-06
698,2.500019036233425e-07
699,4.292000085115433e-06
700,4.167028237134218e-06
701,4.208995960652828e-06
702,4.250032361596823e-06
703,4.167028237134218e-06
704,4.416971933096647e-06
705,8.330098353326321e-07
706,4.374946001917124e-06
707,4.292000085115433e-06
708,4.292000085115433e-06
709,4.542001988738775e-06
710,4.332978278398514e-06
711,2.0803418010473251e-07
712,4.250032361596823e-06
713,4.416971933096647e-06
714,4.416971933096647e-06
715,4.499976057559252e-06
716,2.2500171326100826e-06
717,4.375004209578037e-06
718,4.416971933096647e-06
719,4.582980182021856e-06
720,2.249958924949169e-06
721,4.499976057559252e-06
722,4.584027919918299e-06
723,4.292000085115433e-06
724,4.542001988738775e-06
725,4.62500611320138e-06
726,2.9579969123005867e-06
727,4.582980182021856e-06
728,4.416971933096647e-06
729,4.375004209578037e-06
730,4.707952030003071e-06
731,4.334026016294956e-06
732,4.542001988738775e-06
733,4.458008334040642e-06
734,4.66697383671999e-06
735,2.08965502679348e-07
736,4.542001988738775e-06
737,4.499976057559252e-06
738,4.499976057559252e-06
739,4.708010237663984e-06
740,4.792003892362118e-06
741,4.542001988738775e-06
742,4.169996827840805e-07
743,4.169996827840805e-07
744,4.62500611320138e-06
745,4.62500611320138e-06
746,4.540954250842333e-06
747,4.542001988738775e-06
748,7.919734343886375e-07
749,1.66997779160738e-07
750,3.750319592654705e-07
751,4.542001988738775e-06
752,4.458997864276171e-06
753,4.708010237663984e-06
754,4.667032044380903e-06
755,4.667032044380903e-06
756,4.665984306484461e-06
757,4.542001988738775e-06
758,4.62500611320138e-06
759,4.667032044380903e-06
760,4.708010237663984e-06
761,4.750036168843508e-06
762,4.665984306484461e-06
763,4.708010237663984e-06
764,4.750036168843508e-06
765,4.708010237663984e-06
766,4.334026016294956e-06
767,4.584027919918299e-06
768,4.1601015254855156e-07
769,4.834029823541641e-06
770,4.62500611320138e-06
771,4.584027919918299e-06
772,4.708999767899513e-06
773,4.1601015254855156e-07
774,4.582980182021856e-06
775,5.409820005297661e-07
776,4.792003892362118e-06
777,4.62500611320138e-06
778,4.790956154465675e-06
779,4.665984306484461e-06
780,4.999979864805937e-06
781,4.749977961182594e-06
782,4.832982085645199e-06
783,4.62500611320138e-06
784,4.749977961182594e-06
785,4.875008016824722e-06
786,4.750036168843508e-06
787,4.791014362126589e-06
788,4.750036168843508e-06
789,4.958012141287327e-06
790,1.167005393654108e-06
791,4.750036168843508e-06
792,4.792003892362118e-06
793,5.083042196929455e-06
794,4.874949809163809e-06
795,4.999979864805937e-06
796,4.875008016824722e-06
797,4.917033948004246e-06
798,4.833040293306112e-06
799,4.792003892362118e-06
800,5.04200579598546e-06
801,4.708010237663984e-06
802,3.999972250312567e-06
803,2.0902371034026146e-07
804,6.25033862888813e-07
805,4.749977961182594e-06
806,4.832982085645199e-06
807,4.999979864805937e-06
808,4.917033948004246e-06
809,5.00003807246685e-06
810,4.792003892362118e-06
811,4.916975740343332e-06
812,4.833040293306112e-06
813,4.832982085645199e-06
814,4.959001671522856e-06
815,4.875008016824722e-06
816,5.04200579598546e-06
817,4.916975740343332e-06
818,4.999979864805937e-06
819,4.916975740343332e-06
820,4.958012141287327e-06
821,5.04200579598546e-06
822,5.00003807246685e-06
823,5.249981768429279e-06
824,4.959001671522856e-06
825,4.959001671522856e-06
826,4.875008016824722e-06
827,5.04200579598546e-06
828,5.165988113731146e-06
829,4.959001671522856e-06
830,5.082983989268541e-06
831,5.082983989268541e-06
832,4.999979864805937e-06
833,5.167035851627588e-06
834,5.04200579598546e-06
835,4.169996827840805e-07
836,5.292007699608803e-06
837,5.333975423127413e-06
838,5.041947588324547e-06
839,5.250039976090193e-06
840,5.125009920448065e-06
841,4.959001671522856e-06
842,1.9589788280427456e-06
843,4.999979864805937e-06
844,5.00003807246685e-06
845,8.329516276717186e-07
846,2.3329630494117737e-06
847,5.040958058089018e-06
848,5.207955837249756e-06
849,4.958012141287327e-06
850,5.208014044910669e-06
851,2.3329630494117737e-06
852,5.125009920448065e-06
853,5.208014044910669e-06
854,5.125009920448065e-06
855,5.125009920448065e-06
856,5.166977643966675e-06
857,5.082983989268541e-06
858,5.166977643966675e-06
859,5.250039976090193e-06
860,5.208014044910669e-06
861,5.375011824071407e-06
862,5.374953616410494e-06
863,2.500019036233425e-07
864,5.209003575146198e-06
865,5.374953616410494e-06
866,5.292007699608803e-06
867,4.1601015254855156e-07
868,5.249981768429279e-06
869,5.582987796515226e-06
870,2.500019036233425e-07
871,5.209003575146198e-06
872,5.083042196929455e-06
873,5.333044100552797e-06
874,5.416979547590017e-06
875,5.292007699608803e-06
876,5.207955837249756e-06
877,5.291018169373274e-06
878,5.125009920448065e-06
879,5.542009603232145e-06
880,5.457957740873098e-06
881,5.375011824071407e-06
882,5.208014044910669e-06
883,5.208014044910669e-06
884,2.0803418010473251e-07
885,5.541020072996616e-06
886,5.292007699608803e-06
887,5.332985892891884e-06
888,4.159519448876381e-07
889,5.416979547590017e-06
890,3.750319592654705e-07
891,3.7499703466892242e-06
892,5.375011824071407e-06
893,2.500019036233425e-07
894,5.375011824071407e-06
895,5.458015948534012e-06
896,5.416979547590017e-06
897,5.375011824071407e-06
898,5.332985892891884e-06
899,5.415990017354488e-06
900,5.374953616410494e-06
901,5.416979547590017e-06
902,5.416979547590017e-06
903,5.62501372769475e-06
904,8.33999365568161e-07
905,5.332985892891884e-06
906,5.415990017354488e-06
907,5.29095996171236e-06
908,5.375011824071407e-06
909,5.208014044910669e-06
910,1.9579892978072166e-06
911,5.420297384262085e-07
912,5.415990017354488e-06
913,5.459005478769541e-06
914,5.792011506855488e-06
915,5.415990017354488e-06
916,5.541020072996616e-06
917,5.62501372769475e-06
918,5.375011824071407e-06
919,2.207991201430559e-06
920,5.416979547590017e-06
921,6.249756552278996e-07
922,5.667039658874273e-06
923,5.332985892891884e-06
924,5.332985892891884e-06
925,5.500041879713535e-06
926,5.415990017354488e-06
927,5.542009603232145e-06
928,5.62501372769475e-06
929,3.7080026231706142e-06
930,5.541020072996616e-06
931,5.542009603232145e-06
932,5.749985575675964e-06
933,5.62501372769475e-06
934,5.791953299194574e-06
935,5.667039658874273e-06
936,1.2167030945420265e-05
937,6.04201341047883e-06
938,5.832989700138569e-06
939,5.749985575675964e-06
940,5.707959644496441e-06
941,5.832989700138569e-06
942,5.834037438035011e-06
943,6.124959327280521e-06
944,6.082991603761911e-06
945,4.5902561396360397e-07
946,5.832989700138569e-06
947,5.750043783336878e-06
948,2.5830231606960297e-06
949,5.541951395571232e-06
950,5.499983672052622e-06
951,5.542009603232145e-06
952,5.875015631318092e-06
953,6.125017534941435e-06
954,6.08398113399744e-06
955,5.875015631318092e-06
956,6.208021659404039e-06
957,5.833047907799482e-06
958,5.749985575675964e-06
959,5.749985575675964e-06
960,5.70894917473197e-06
961,5.832989700138569e-06
962,5.667039658874273e-06
963,5.833979230374098e-06
964,5.833979230374098e-06
965,5.834037438035011e-06
966,5.624955520033836e-06
967,5.792011506855488e-06
968,5.915993824601173e-06
969,5.792011506855488e-06
970,5.749985575675964e-06
971,5.874957423657179e-06
972,7.910421118140221e-07
973,5.58304600417614e-06
974,5.791021976619959e-06
975,5.583977326750755e-06
976,5.832989700138569e-06
977,6.125017534941435e-06
978,6.67001586407423e-07
979,5.959009286016226e-06
980,1.66997779160738e-07
981,5.749985575675964e-06
982,5.874957423657179e-06
983,5.832989700138569e-06
984,6.167043466120958e-06
985,6.660120561718941e-07
986,6.125017534941435e-06
987,5.62501372769475e-06
988,8.330098353326321e-07
989,2.500019036233425e-07
990,5.875015631318092e-06
991,5.62501372769475e-06
992,5.584035534411669e-06
993,5.792011506855488e-06
994,3.750319592654705e-07
995,6.208021659404039e-06
996,5.749985575675964e-06
997,6.00004568696022e-06
998,4.542001988738775e-06
999,5.790963768959045e-06
1000,5.915993824601173e-06
1001,6.583984941244125e-06
1002,5.875015631318092e-06
1003,5.999987479299307e-06
1004,5.999987479299307e-06
1005,6.082991603761911e-06
1006,2.500019036233425e-07
1007,6.334041245281696e-06
1008,6.082991603761911e-06
1009,6.04201341047883e-06
1010,5.958019755780697e-06
1011,5.875015631318092e-06
1012,1.2919772416353226e-06
1013,6.04201341047883e-06
1014,5.750043783336878e-06
1015,6.04201341047883e-06
1016,5.999987479299307e-06
1017,6.541027687489986e-06
1018,6.4159976318478584e-06
1019,6.292015314102173e-06
1020,5.999987479299307e-06
1021,6.082991603761911e-06
1022,1.1249794624745846e-06
1023,6.66698906570673e-06
1024,6.166985258460045e-06
1025,6.084039341658354e-06
1026,6.417045369744301e-06
1027,2.5830231606960297e-06
1028,5.958019755780697e-06
1029,6.084039341658354e-06
1030,6.207963451743126e-06
1031,7.919734343886375e-07
1032,6.00004568696022e-06
1033,6.166985258460045e-06
1034,6.207963451743126e-06
1035,5.959009286016226e-06
1036,6.165995728224516e-06
1037,5.832989700138569e-06
1038,5.791953299194574e-06
1039,6.082991603761911e-06
1040,5.958951078355312e-06
1041,4.66697383671999e-06
1042,5.875015631318092e-06
1043,5.999987479299307e-06
1044,6.08398113399744e-06
1045,6.040965672582388e-06
1046,6.041023880243301e-06
